GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "48029","Bexar, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",75.795,77.296,80.426,83.384,86.582,91.457,94.126,94.620,92.581,95.729,99.152,100.000,102.059,106.175,111.762,114.908,115.620,121.160,122.456,120.070
 "48029","Bexar, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",46792224,48716917,51897601,55233510,59055168,64317488,68142870,69589668,69428138,72586234,76207216,78481774,81758842,86829485,93088498,97112941,98966725,105986308,109185396,109325834
 "48031","Blanco, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",202985,217261,212399,221023,215609,219714,219781,221370,233311,240693,242259,275766,280408,304412,322392,321814,334156,353189,383423,399738
 "48031","Blanco, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.608,78.784,77.021,80.149,78.185,79.674,79.698,80.275,84.605,87.282,87.849,100.000,101.683,110.388,116.908,116.698,121.174,128.076,139.039,144.955
 "48031","Blanco, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",150283,163286,165286,178987,182069,194381,202608,207647,221328,231364,236577,275766,286958,318701,346831,352562,372540,404475,446311,471813
 "48033","Borden, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",262908,385556,281554,292341,286392,324171,357624,331726,421746,392525,411601,481559,467545,388298,409418,479021,482986,568830,854088,722142
 "48033","Borden, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",54.595,80.064,58.467,60.707,59.472,67.317,74.264,68.886,87.579,81.511,85.473,100.000,97.090,80.634,85.019,99.473,100.296,118.122,177.359,149.959
 "48033","Borden, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",132767,159842,182060,228991,302519,345434,406649,513120,323938,403099,483882,481559,501823,404406,227671,236988,286109,396033,481234,275422
 "48035","Bosque, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",383490,437199,434994,434309,454088,426511,402372,408438,411731,427338,466414,500517,522903,524282,532246,526071,518396,523137,537403,563788
 "48035","Bosque, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.619,87.349,86.909,86.772,90.724,85.214,80.391,81.603,82.261,85.379,93.186,100.000,104.473,104.748,106.339,105.106,103.572,104.519,107.370,112.641
 "48035","Bosque, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",285543,326570,336877,349909,375946,367503,357872,368670,386668,405309,459206,500517,538667,558705,573702,563967,564749,582881,615513,656112
 "48037","Bowie, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2938069,3043259,3083931,3186508,3318786,3437348,3441828,3494694,3452090,3465742,3503791,3479801,3350880,3258267,3296661,3324709,3287142,3269678,3238755,3206085
 "48037","Bowie, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.432,87.455,88.624,91.572,95.373,98.780,98.909,100.428,99.204,99.596,100.689,100.000,96.295,93.634,94.737,95.543,94.464,93.962,93.073,92.134
 "48037","Bowie, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2238155,2367282,2460576,2630128,2825936,3022107,3126796,3242665,3263554,3330556,3423466,3479801,3425172,3397943,3504937,3592985,3612454,3684149,3739564,3795753
 "48039","Brazoria, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",11018903,10908187,10249461,10063066,10005176,10880117,11446779,11039526,10975390,12514281,12891571,13637114,14729993,14638964,15356632,15783630,14867792,15386690,15115082,15032084
 "48039","Brazoria, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.801,79.989,75.159,73.792,73.367,79.783,83.938,80.952,80.482,91.766,94.533,100.000,108.014,107.346,112.609,115.740,109.024,112.830,110.838,110.229
