GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "48000","Texas",6,CAGDP2,1,"...","All industry total","Thousands of dollars",773375473,789817593,833342258,913444373,995252430,1103197618,1191093058,1244294865,1169607677,1245959423,1341334387,1421180088,1515195596,1579299467,1573498371,1579014883,1677110897,1809706441,1863953826,1775587834
 "48000","Texas",6,CAGDP2,2,"..."," Private industries","Thousands of dollars",685207415,695126854,732981069,809299497,885462627,987305616,1067070180,1112552357,1029748201,1099992876,1194545062,1269653227,1358691852,1417855778,1404555240,1403734069,1495622260,1622020767,1670531086,1573383016
 "48000","Texas",6,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",6187881,6862869,8332649,9644229,8215488,7232836,8152118,6211824,5467577,8912612,8335187,8137530,10790581,10281811,12226318,9233075,10232200,9743843,8369563,7614793
 "48000","Texas",6,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",51936522,48046602,62415212,72785896,99245090,116231817,137390451,177803880,112391050,122264465,146587035,159620748,186362957,205168006,122168484,99193085,127620380,154438855,142938340,74494689
 "48000","Texas",6,CAGDP2,10,"22","  Utilities","Thousands of dollars",20208856,18051380,18970419,19694981,19719527,22947042,22870451,22044173,22437092,24487471,26534109,24732190,25317153,25617920,25862738,26239460,28070179,29803911,31224349,31568830
 "48000","Texas",6,CAGDP2,11,"23","  Construction","Thousands of dollars",41460978,42387294,44004028,43579834,49351971,56936836,64643070,64864065,59850616,55764887,56964791,63763073,67580438,74099183,79036655,82320246,84305237,86140535,92347367,89986583
 "48000","Texas",6,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",106014169,105119999,109168162,141190679,146163120,167521098,181824765,163232263,154600491,176870356,204512422,207319650,224691784,202279705,211751846,197648851,216502675,244152883,236727630,211512750
 "48000","Texas",6,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",54051108,55911715,55087023,65120685,70855279,82350519,83844431,87670430,78648885,83455570,92904970,96039930,102093268,104452024,101321272,101513182,106902439,115645484,118987150,109394995
 "48000","Texas",6,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",51963061,49208285,54081139,76069993,75307840,85170579,97980334,75561833,75951606,93414786,111607452,111279719,122598517,97827682,110430574,96135669,109600236,128507400,117740480,102117755
 "48000","Texas",6,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",51960396,50713328,52230611,60378265,67060730,74026865,81382553,87277772,84363472,92886040,101933410,115923706,121598575,126868638,131585846,129994355,130656521,140076001,147602789,146148264
 "48000","Texas",6,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",52736553,54542468,56131625,56680498,60676668,64055605,64849175,64946678,65422125,67594710,69809486,75470076,79633788,83422321,88413137,90237575,91428696,95386731,97825469,103003195
 "48000","Texas",6,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",33203312,29173818,30102428,32965650,34787130,38320123,39123801,42204652,39702293,43723889,45906711,50515425,49117529,52434590,56935747,57741195,61302979,64795349,68170823,58487049
 "48000","Texas",6,CAGDP2,45,"51","  Information","Thousands of dollars",34346028,36783049,37963425,40523735,41187411,43354018,51934687,54148844,50324362,50232711,50437257,49598000,54387019,53987094,59692502,61159103,64257032,68167224,69985637,70277532
 "48000","Texas",6,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",117141501,124030675,128818635,134770299,149643040,167495854,168489956,164280063,166829234,175565995,187005959,199701155,211069696,231361824,242780917,262841252,275856348,300842113,317801942,347212128
 "48000","Texas",6,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",42738424,44561592,47140164,48566924,53148824,55395972,55249238,52654248,55546001,58223982,60680847,68054508,70610990,78650056,85438773,96522926,98886490,110387558,113956573,119568245
 "48000","Texas",6,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",74403077,79469082,81678471,86203376,96494217,112099882,113240718,111625815,111283234,117342013,126325113,131646647,140458707,152711768,157342144,166318325,176969858,190454555,203845369,227643884
 "48000","Texas",6,CAGDP2,59,"54, 55, 56","  Professional and business services","Thousands of dollars",76660979,78729611,80703829,87858540,96778230,107500467,118763334,130362055,124731276,131923314,141034538,150981827,157730665,170297799,178778232,182264865,194184670,209516739,226927912,224640045
 "48000","Texas",6,CAGDP2,60,"54","   Professional, scientific, and technical services","Thousands of dollars",51253789,52843522,53329241,56452882,61203347,67775959,73173090,81917595,77829732,82116249,87745396,94047898,97451371,102651561,108655123,111254242,116234923,125291308,137462129,136051343
 "48000","Texas",6,CAGDP2,64,"55","   Management of companies and enterprises","Thousands of dollars",3287407,3625372,4011178,5173758,6467222,7413163,9557384,10369043,10322521,11333504,12264435,13990570,14671932,18422569,19195450,19532921,22464014,25067595,26688275,25654056
 "48000","Texas",6,CAGDP2,65,"56","   Administrative and support and waste management and remediation services","Thousands of dollars",22119783,22260716,23363411,26231901,29107662,32311345,36032859,38075416,36579023,38473561,41024708,42943360,45607362,49223669,50927659,51477702,55485734,59157836,62777509,62934646
